state,date,year,month,day_name,day_of_week,is_weekend,pm25,temp_max,temp_min,temp_mean,electricity_mwh,green_percentage,electricity_scaled,pm25_norm,green_norm,temp_norm,electricity_norm,QoL,season
Carolinas,2025-07-06,2025,7,Sunday,6,1,5.979166666666667,25.4,21.9,23.6,653583.0,89.30824295153509,65.3583,0.035499000842265205,0.9208794347877436,0.7752100840336137,0.26024185167175407,0.916614122614459,Summer
Carolinas,2025-07-07,2025,7,Monday,0,0,7.325,32.7,23.0,26.8,794507.0,89.30824295153509,79.4507,0.043500520222622255,0.9208794347877436,0.8424369747899161,0.35621702904916985,0.9176904074682597,Summer
Carolinas,2025-07-08,2025,7,Tuesday,1,0,6.7375,32.5,23.9,27.5,827047.0,89.30824295153509,82.7047,0.04000759690178527,0.9208794347877436,0.8571428571428572,0.378378139093315,0.9212193681073446,Summer
Carolinas,2025-07-09,2025,7,Wednesday,2,0,6.3375,30.9,23.2,25.7,792885.0,89.30824295153509,79.2885,0.037629436342917544,0.9208794347877436,0.8193277310924371,0.35511237875747953,0.9140937432380789,Summer
Carolinas,2025-07-10,2025,7,Thursday,3,0,7.079166666666667,29.4,22.5,24.6,730196.0,89.30824295153509,73.0196,0.04203894237915146,0.9208794347877436,0.7962184873949582,0.31241853033838257,0.9105747072970629,Summer
Carolinas,2025-07-11,2025,7,Friday,4,0,8.691666666666666,31.4,21.9,25.5,736252.0,89.30824295153509,73.6252,0.051625902132087,0.9208794347877436,0.8151260504201681,0.31654292131648165,0.909800300217466,Summer
Carolinas,2025-07-12,2025,7,Saturday,5,1,13.816666666666668,33.5,22.5,27.7,741635.0,89.30824295153509,74.1635,0.08209608429257982,0.9208794347877436,0.8613445378151261,0.32020897095900264,0.9042946326258058,Summer
Carolinas,2025-07-13,2025,7,Sunday,6,1,16.8,34.0,22.8,27.9,747274.0,89.30824295153509,74.7274,0.09983319846080164,0.9208794347877436,0.8655462184873951,0.3240493673799902,0.8932557132755109,Summer
Carolinas,2025-07-14,2025,7,Monday,0,0,23.34583333333333,33.5,22.7,26.8,804719.0,89.30824295153509,80.4719,0.1387508051064392,0.9208794347877436,0.8424369747899161,0.36317183100893663,0.8531791078336647,Summer
Carolinas,2025-07-15,2025,7,Tuesday,1,0,15.958333333333334,31.5,23.6,26.4,793276.0,89.30824295153509,79.3276,0.0948291522848508,0.9208794347877436,0.8340336134453783,0.35537866621990305,0.8808943562368259,Summer
