period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2025-11-05,FLA,Florida,D,Demand,Central,Central,624964,megawatthours
2025-11-05,NY,New York,D,Demand,Central,Central,381912,megawatthours
2025-11-05,TEN,Tennessee,D,Demand,Central,Central,400527,megawatthours
2025-11-05,TEX,Texas,D,Demand,Central,Central,1191246,megawatthours
2025-11-04,CAL,California,D,Demand,Central,Central,718091,megawatthours
2025-11-04,CAR,Carolinas,D,Demand,Central,Central,499475,megawatthours
2025-11-04,FLA,Florida,D,Demand,Central,Central,595188,megawatthours
2025-11-04,NY,New York,D,Demand,Central,Central,366648,megawatthours
2025-11-04,TEN,Tennessee,D,Demand,Central,Central,417588,megawatthours
2025-11-04,TEX,Texas,D,Demand,Central,Central,1143746,megawatthours
2025-11-03,CAL,California,D,Demand,Central,Central,702124,megawatthours
2025-11-03,CAR,Carolinas,D,Demand,Central,Central,547148,megawatthours
2025-11-03,FLA,Florida,D,Demand,Central,Central,607939,megawatthours
2025-11-03,NY,New York,D,Demand,Central,Central,381810,megawatthours
2025-11-03,TEN,Tennessee,D,Demand,Central,Central,428890,megawatthours
2025-11-03,TEX,Texas,D,Demand,Central,Central,1126832,megawatthours
2025-11-02,CAL,California,D,Demand,Central,Central,684070,megawatthours
2025-11-02,CAR,Carolinas,D,Demand,Central,Central,538245,megawatthours
2025-11-02,FLA,Florida,D,Demand,Central,Central,590442,megawatthours
2025-11-02,NY,New York,D,Demand,Central,Central,355563,megawatthours
2025-11-02,TEN,Tennessee,D,Demand,Central,Central,411675,megawatthours
2025-11-02,TEX,Texas,D,Demand,Central,Central,1102462,megawatthours
2025-11-01,CAL,California,D,Demand,Central,Central,664992,megawatthours
2025-11-01,CAR,Carolinas,D,Demand,Central,Central,536147,megawatthours
2025-11-01,FLA,Florida,D,Demand,Central,Central,547283,megawatthours
2025-11-01,NY,New York,D,Demand,Central,Central,351986,megawatthours
2025-11-01,TEN,Tennessee,D,Demand,Central,Central,398624,megawatthours
2025-11-01,TEX,Texas,D,Demand,Central,Central,1071470,megawatthours
2025-10-31,CAL,California,D,Demand,Central,Central,724582,megawatthours
2025-10-31,CAR,Carolinas,D,Demand,Central,Central,543546,megawatthours
2025-10-31,FLA,Florida,D,Demand,Central,Central,546507,megawatthours
2025-10-31,NY,New York,D,Demand,Central,Central,376848,megawatthours
2025-10-31,TEN,Tennessee,D,Demand,Central,Central,408580,megawatthours
2025-10-31,TEX,Texas,D,Demand,Central,Central,1103034,megawatthours
2025-10-30,CAL,California,D,Demand,Central,Central,748217,megawatthours
2025-10-30,CAR,Carolinas,D,Demand,Central,Central,540636,megawatthours
2025-10-30,FLA,Florida,D,Demand,Central,Central,586735,megawatthours
2025-10-30,NY,New York,D,Demand,Central,Central,390836,megawatthours
2025-10-30,TEN,Tennessee,D,Demand,Central,Central,414333,megawatthours
2025-10-30,TEX,Texas,D,Demand,Central,Central,1102834,megawatthours
2025-10-29,CAL,California,D,Demand,Central,Central,750881,megawatthours
2025-10-29,CAR,Carolinas,D,Demand,Central,Central,572112,megawatthours
2025-10-29,FLA,Florida,D,Demand,Central,Central,661424,megawatthours
2025-10-29,NY,New York,D,Demand,Central,Central,373069,megawatthours
2025-10-29,TEN,Tennessee,D,Demand,Central,Central,401459,megawatthours
