state,date,year,month,day_name,day_of_week,is_weekend,pm25,temp_max,temp_min,temp_mean,electricity_mwh,green_percentage,electricity_scaled,pm25_norm,green_norm,temp_norm,QoL,electricity_norm
Tennessee,2024-04-22,2024,4,Monday,0,0,5.3125,17.7,2.5,9.8,389553.0,89.61664946530912,38.9553,0.03153539991081898,0.9243188895159712,0.5810344827586207,0.8837713814350798,0.08042630511503482
Tennessee,2024-04-23,2024,4,Tuesday,1,0,7.425,20.5,11.3,14.4,385819.0,89.61664946530912,38.5819,0.044095060362339185,0.9243188895159712,0.6603448275862068,0.9030989219807936,0.07788329390099555
Tennessee,2024-04-24,2024,4,Wednesday,2,0,6.9875,17.5,6.6,12.2,384476.0,89.61664946530912,38.4476,0.041493947251077606,0.9243188895159712,0.6224137931034481,0.891852977962612,0.07696865435614961
Tennessee,2024-04-25,2024,4,Thursday,3,0,5.595833333333334,15.6,3.9,10.1,375741.0,89.61664946530912,37.5741,0.03321993030668363,0.9243188895159712,0.5862068965517241,0.8860388068790068,0.07101975158308237
Tennessee,2024-04-26,2024,4,Friday,4,0,7.808333333333334,21.8,9.4,12.8,389759.0,89.61664946530912,38.9759,0.046374130897920765,0.9243188895159712,0.6327586206896553,0.8914297455873832,0.08056659978833211
Tennessee,2024-04-27,2024,4,Saturday,5,1,16.275000000000002,26.8,17.6,20.7,388534.0,89.61664946530912,38.8534,0.09671186272728775,0.9243188895159712,0.7689655172413792,0.9039570766149354,0.0797323232116856
Tennessee,2024-04-28,2024,4,Sunday,6,1,9.579166666666667,23.4,17.0,19.4,389658.0,89.61664946530912,38.9658,0.05690244587207479,0.9243188895159712,0.746551724137931,0.923758467188413,0.08049781453589024
Tennessee,2024-04-29,2024,4,Monday,0,0,8.558333333333334,21.8,14.4,18.2,410980.0,89.61664946530912,41.098,0.050833181945797765,0.9243188895159712,0.7258620689655172,0.9182484118852543,0.09501899426426341
Tennessee,2024-04-30,2024,4,Tuesday,1,0,4.545833333333333,25.9,9.1,17.4,417423.0,89.61664946530912,41.7423,0.02697725883965583,0.9243188895159712,0.7120689655172413,0.9293038343327384,0.09940694853637241
Tennessee,2024-05-01,2024,5,Wednesday,2,0,6.125,22.9,14.7,19.5,432035.0,80.12409280562429,43.2035,0.03636603854601906,0.8184546569918701,0.7482758620689655,0.8783064385546447,0.1093583357510328
Tennessee,2024-05-02,2024,5,Thursday,3,0,8.333333333333334,26.5,15.1,19.4,438420.0,80.12409280562429,43.842,0.04949546663143466,0.8184546569918701,0.746551724137931,0.8677972728733558,0.11370678958114548
Tennessee,2024-05-03,2024,5,Friday,4,0,7.716666666666666,22.9,12.7,18.1,414492.0,80.12409280562429,41.4492,0.0458291357698469,0.8184546569918701,0.7241379310344828,0.8653812161907581,0.09741081413135123
Tennessee,2024-05-04,2024,5,Saturday,5,1,6.241666666666667,25.5,12.4,17.9,401054.0,80.12409280562429,40.1054,0.03705966870902215,0.8184546569918701,0.7206896551724138,0.8718861319922738,0.08825897034606474
Tennessee,2024-05-05,2024,5,Sunday,6,1,6.15,20.4,8.5,14.6,407967.0,80.12409280562429,40.7967,0.036514673580948294,0.8184546569918701,0.6637931034482759,0.8516183756309854,0.09296701440676465
Tennessee,2024-05-06,2024,5,Monday,0,0,5.470833333333334,23.1,13.2,17.6,435073.0,80.12409280562429,43.5073,0.03247675513203746,0.8184546569918701,0.7155172413793104,0.8692409053757439,0.11142734166111617
Tennessee,2024-05-07,2024,5,Tuesday,1,0,8.799999999999999,24.9,16.9,20.4,450605.0,80.12409280562429,45.0605,0.052269987283447006,0.8184546569918701,0.7637931034482758,0.8704258828475757,0.12200528761089068
Tennessee,2024-05-08,2024,5,Wednesday,2,0,8.939130434782609,26.4,11.4,18.8,448216.0,80.12409280562429,44.8216,0.053097173564792315,0.8184546569918701,0.7362068965517242,0.8605196372641514,0.12037827802590412
Tennessee,2024-05-09,2024,5,Thursday,3,0,5.016666666666667,21.0,14.1,17.7,441850.0,80.12409280562429,44.185,0.02977655199748972,0.8184546569918701,0.7172413793103447,0.8709194717254914,0.11604276399575575
Tennessee,2024-05-10,2024,5,Friday,4,0,4.9375,21.0,9.2,14.8,393976.0,80.12409280562429,39.3976,0.029305874386880485,0.8184546569918701,0.6672413793103449,0.859504497338835,0.0834385543383063
Tennessee,2024-05-11,2024,5,Saturday,5,1,6.908333333333334,23.1,10.8,17.4,365457.0,80.12409280562429,36.5457,0.041023269640468374,0.8184546569918701,0.7120689655172413,0.870343636122297,0.06401591459187189
Tennessee,2024-05-12,2024,5,Sunday,6,1,7.420833333333333,26.5,11.0,18.5,371714.0,80.12409280562429,37.1714,0.04407028785651765,0.8184546569918701,0.7310344827586207,0.874086596166298,0.06827719503275131
Tennessee,2024-05-13,2024,5,Monday,0,0,9.058333333333334,24.8,14.2,19.3,379679.0,80.12409280562429,37.9679,0.05380588264438243,0.8184546569918701,0.7448275862068966,0.8711627380862408,0.07370169538621217
Tennessee,2024-05-14,2024,5,Tuesday,1,0,7.7125,19.8,15.1,16.8,398785.0,80.12409280562429,39.8785,0.04580436326402537,0.8184546569918701,0.7017241379310345,0.859451603461168,0.08671368581348436
Tennessee,2024-05-15,2024,5,Wednesday,2,0,5.185714285714286,24.2,10.3,17.1,400452.0,80.12409280562429,40.0452,0.030781607947963585,0.8184546569918701,0.7068965517241379,0.8715265055026095,0.08784898299982702
Tennessee,2024-05-16,2024,5,Thursday,3,0,7.259090909090909,22.8,13.3,18.6,426581.0,80.12409280562429,42.6581,0.043108664221445187,0.8184546569918701,0.7327586206896551,0.8688468680085266,0.10564393211917147
Tennessee,2024-05-17,2024,5,Friday,4,0,9.344444444444443,25.8,12.9,19.8,399450.0,80.12409280562429,39.945,0.05550692804412809,0.8184546569918701,0.753448275862069,0.8706351952667551,0.08716657881223533
Tennessee,2024-05-18,2024,5,Saturday,5,1,9.103425925925924,28.3,15.6,21.6,394481.0,80.12409280562429,39.4481,0.0540739762073844,0.8184546569918701,0.7844827586206896,0.8830384204133697,0.08378248060051569
Tennessee,2024-05-19,2024,5,Sunday,6,1,8.862407407407407,30.0,17.7,23.5,425332.0,80.12409280562429,42.5332,0.05264102437064073,0.8184546569918701,0.8172413793103448,0.8917919087495579,0.10479331053204372
Tennessee,2024-05-20,2024,5,Monday,0,0,8.621388888888887,29.2,21.1,25.0,471957.0,80.12409280562429,47.1957,0.05120807253389704,0.8184546569918701,0.843103448275862,0.896270277796621,0.1365468986023654
Tennessee,2024-05-21,2024,5,Tuesday,1,0,8.38037037037037,31.2,19.8,24.4,486089.0,80.12409280562429,48.6089,0.04977512069715336,0.8184546569918701,0.8327586206896551,0.8919870610270552,0.14617138560740103
Tennessee,2024-05-22,2024,5,Wednesday,2,0,8.13935185185185,23.2,14.7,19.3,462617.0,80.12409280562429,46.2617,0.04834216886040968,0.8184546569918701,0.7448275862068966,0.8651289218778575,0.13018596535675028
Tennessee,2024-05-23,2024,5,Thursday,3,0,7.898333333333331,26.0,10.7,18.7,445376.0,80.12409280562429,44.5376,0.04690921702366599,0.8184546569918701,0.7344827586206896,0.8645685670876933,0.11844411845229096
Tennessee,2024-05-24,2024,5,Friday,4,0,7.657314814814814,24.3,17.4,20.7,430971.0,80.12409280562429,43.0971,0.04547626518692232,0.8184546569918701,0.7689655172413792,0.8792931632200266,0.10863370695303125
Tennessee,2024-05-25,2024,5,Saturday,5,1,7.416296296296296,24.2,11.4,18.3,439598.0,80.12409280562429,43.9598,0.04404331335017864,0.8184546569918701,0.7275862068965517,0.8648483214391693,0.11450905717893292
Tennessee,2024-05-26,2024,5,Sunday,6,1,7.175277777777778,27.5,17.5,20.9,434420.0,80.12409280562429,43.442,0.04261036151343496,0.8184546569918701,0.7724137931034483,0.8820829577783048,0.11098262116760582
Tennessee,2024-05-27,2024,5,Monday,0,0,6.9342592592592585,23.9,13.1,18.9,436975.0,80.12409280562429,43.6975,0.04117740967669127,0.8184546569918701,0.7379310344827585,0.8707619521155608,0.11272268374175429
Tennessee,2024-05-28,2024,5,Tuesday,1,0,6.693240740740741,22.9,13.9,17.9,453466.0,80.12409280562429,45.3466,0.039744457839947595,0.8184546569918701,0.7206896551724138,0.8637955005898657,0.12395374906867493
